kernel_name,total_bytes_read_mb,total_bytes_written_mb,total_bytes_mb,total_flops_m,arithmetic_intensity,num_nodes,count_unique_ops,architecture,power_consumption
67_conv_standard_1D.py_variable_multiplier_0.8,3276.95,2457.68,5734.62,1288.49,0.17144,3,3,a100,99.0
68_conv_transposed_3D__square_input__asymmetric_kernel.py_variable_multiplier_0.8,1229.74,819.669,2049.41,644.245,0.23984,3,3,a100,162.5
69_conv_transposed_2D__asymmetric_input__asymmetric_kernel.py_variable_multiplier_0.8,1229.55,819.575,2049.12,644.245,0.23984,3,3,a100,99.0
6_Matmul_with_large_K_dimension_.py_variable_multiplier_0.8,2457.6,1638.4,4096.0,31568.0,5.88,1,1,a100,99.0
70_conv_transposed_3D__asymmetric_input__square_kernel.py_variable_multiplier_0.8,3110.59,2073.69,5184.28,1630.75,0.24,3,3,a100,99.0
71_conv_transposed_2D__asymmetric_input__square_kernel.py_variable_multiplier_0.8,1228.86,819.228,2048.08,644.245,0.24,3,3,a100,99.0
73_conv_transposed_3D_asymmetric_input_square_kernel__strided_padded__grouped.py_variable_multiplier_0.8,307.369,204.884,512.253,161.061,0.23992,3,3,a100,99.0
76_conv_standard_1D_dilated_strided__.py_variable_multiplier_0.8,26214.2,19660.6,45874.7,10307.8,0.17144,3,3,a100,279.6666666666667
77_conv_transposed_3D_square_input_square_kernel___padded____dilated____strided__.py_variable_multiplier_0.8,77.1375,51.3687,128.506,34789.2,206.543,2,2,a100,99.0
78_conv_transposed_2D_asymmetric_input_asymmetric_kernel___padded__.py_variable_multiplier_0.8,1228.93,819.266,2048.2,644.245,0.24,3,3,a100,121.33333333333331
79_conv_transposed_1D_asymmetric_input_square_kernel___padded____strided____dilated__.py_variable_multiplier_0.8,614.438,409.619,1024.06,322.123,0.24,3,3,a100,99.0
7_Matmul_with_small_K_dimension_.py_variable_multiplier_0.8,38.4,25.6,64.0,329853.0,3932.16,1,1,a100,99.0
81_conv_transposed_2D_asymmetric_input_square_kernel___dilated____padded____strided__.py_variable_multiplier_0.8,38.5125,25.6562,64.1687,5798.21,68.9382,2,2,a100,99.0
87_conv_pointwise_2D.py_variable_multiplier_0.8,13107.2,9830.42,22937.7,5154.0,0.17144,3,3,a100,155.0
88_MinGPTNewGelu.py_variable_multiplier_0.8,614.4,409.6,1024.0,3221.23,2.4,15,5,a100,99.0
89_cumsum.py_variable_multiplier_0.8,9830.4,6553.6,16384.0,2576.98,0.12,3,2,a100,133.33333333333334
8_Matmul_with_irregular_shapes_.py_variable_multiplier_0.8,381.386,254.258,635.644,336930.0,404.405,1,1,a100,99.0
90_cumprod.py_variable_multiplier_0.8,9830.4,6553.6,16384.0,2576.98,0.12,3,2,a100,133.0
91_cumsum_reverse.py_variable_multiplier_0.8,9830.4,6553.6,16384.0,2576.98,0.12,9,4,a100,196.0
92_cumsum_exclusive.py_variable_multiplier_0.8,9830.4,6553.6,16384.0,2576.17,0.12,27,12,a100,162.66666666666666
93_masked_cumsum.py_variable_multiplier_0.8,12288.0,8192.0,20480.0,5153.96,0.192,4,3,a100,179.33333333333334
94_MSELoss.py_variable_multiplier_0.8,19660.8,13107.2,32768.0,23192.8,0.54,6,4,a100,221.0
95_CrossEntropyLoss.py_variable_multiplier_0.8,1229.4,819.6,2049.0,0.00024,0.0,5,2,a100,99.0
96_HuberLoss.py_variable_multiplier_0.8,19660.8,13107.2,32768.0,10307.9,0.24,6,5,a100,188.0
97_ScaledDotProductAttention.py_variable_multiplier_0.8,14745.6,9830.4,24576.0,209380.0,6.5,6,2,a100,291.0
98_KLDivLoss.py_variable_multiplier_0.8,4915.2,3276.8,8192.0,2576.98,0.24,8,6,a100,158.0
99_TripletMarginLoss.py_variable_multiplier_0.8,7372.8,4915.2,12288.0,0.00112,0.0,2,2,a100,161.0
9_Tall_skinny_matrix_multiplication_.py_variable_multiplier_0.8,19.2,12.8,32.0,164927.0,3932.16,1,1,a100,142.0
10_3D_tensor_matrix_multiplication.py_variable_multiplier_0.9,361.8,241.2,603.0,70939.7,100.975,1,1,a100,99.0
11_4D_tensor_matrix_multiplication.py_variable_multiplier_0.9,2766.83,1844.55,4611.38,105719.0,19.6772,4,3,a100,272.5
12_Matmul_with_diagonal_matrices_.py_variable_multiplier_0.9,172.842,115.228,288.07,45.2952,0.135,3,3,a100,99.0
13_Matmul_for_symmetric_matrices.py_variable_multiplier_0.9,345.6,230.4,576.0,202575.0,301.86,1,1,a100,99.0
14_Matmul_for_upper_triangular_matrices.py_variable_multiplier_0.9,345.6,230.4,576.0,202620.0,301.928,3,3,a100,99.0
15_Matmul_for_lower_triangular_matrices.py_variable_multiplier_0.9,345.6,230.4,576.0,202620.0,301.928,3,3,a100,126.5
16_Matmul_with_transposed_A.py_variable_multiplier_0.9,518.4,345.6,864.0,165279.0,164.19,2,2,a100,99.0
17_Matmul_with_transposed_B.py_variable_multiplier_0.9,518.4,345.6,864.0,165279.0,164.19,2,2,a100,99.0
18_Matmul_with_transposed_both.py_variable_multiplier_0.9,518.4,345.6,864.0,165279.0,164.19,3,2,a100,99.0
19_ReLU.py_variable_multiplier_0.9,16588.8,11059.2,27648.0,4348.65,0.135,1,1,a100,99.0
1_Square_matrix_multiplication_.py_variable_multiplier_0.9,345.6,230.4,576.0,202575.0,301.86,1,1,a100,99.0
20_LeakyReLU.py_variable_multiplier_0.9,16588.8,11059.2,27648.0,8697.31,0.27,2,2,a100,99.0
21_Sigmoid.py_variable_multiplier_0.9,16588.8,11059.2,27648.0,17394.6,0.54,1,1,a100,99.0
22_Tanh.py_variable_multiplier_0.9,16588.8,11059.2,27648.0,26091.9,0.81,1,1,a100,99.0
23_Softmax.py_variable_multiplier_0.9,16588.8,11059.2,27648.0,21743.3,0.675,3,2,a100,243.5
24_LogSoftmax.py_variable_multiplier_0.9,16588.8,11059.2,27648.0,21743.3,0.675,3,2,a100,236.5
25_Swish.py_variable_multiplier_0.9,16588.8,11059.2,27648.0,21743.3,0.675,2,2,a100,257.5
26_GELU_.py_variable_multiplier_0.9,16588.8,11059.2,27648.0,60881.2,1.89,2,2,a100,99.0
27_SELU_.py_variable_multiplier_0.9,16588.8,11059.2,27648.0,43486.5,1.35,1,1,a100,171.0
28_HardSigmoid.py_variable_multiplier_0.9,16588.8,11059.2,27648.0,13046.0,0.405,1,1,a100,99.0
29_Softplus.py_variable_multiplier_0.9,16588.8,11059.2,27648.0,26091.9,0.81,3,2,a100,99.0
2_Standard_matrix_multiplication_.py_variable_multiplier_0.9,518.4,345.6,864.0,165279.0,164.19,1,1,a100,99.0
30_Softsign.py_variable_multiplier_0.9,16588.8,11059.2,27648.0,13046.0,0.405,5,4,a100,249.66666666666663
31_ELU.py_variable_multiplier_0.9,16588.8,11059.2,27648.0,34789.2,1.08,4,2,a100,99.0
32_HardTanh.py_variable_multiplier_0.9,16588.8,11059.2,27648.0,8697.31,0.27,3,2,a100,99.0
33_BatchNorm.py_variable_multiplier_0.9,11059.2,7372.8,18432.0,5798.21,0.27,3,3,a100,172.0
34_InstanceNorm.py_variable_multiplier_0.9,19353.6,12902.4,32256.0,20293.7,0.54,2,2,a100,215.5
36_RMSNorm_.py_variable_multiplier_0.9,19353.6,12902.4,32256.0,52002.7,1.38375,12,7,a100,223.0
37_FrobeniusNorm_.py_variable_multiplier_0.9,19353.6,12902.4,32256.0,5073.78,0.135,6,3,a100,208.0
38_L1Norm_.py_variable_multiplier_0.9,22118.1,14745.4,36863.4,11598.8,0.27009,7,5,a100,275.6666666666667
39_L2Norm_.py_variable_multiplier_0.9,22118.1,14745.4,36863.4,5802.01,0.13509,7,4,a100,241.5
3_Batched_matrix_multiplication.py_variable_multiplier_0.9,3456.0,2304.0,5760.0,127633.0,19.0188,1,1,a100,175.5
40_LayerNorm.py_variable_multiplier_0.9,748.8,489.6,1238.4,362.388,0.25119,3,3,a100,106.0
43_Max_Pooling_3D.py_variable_multiplier_0.9,11059.2,7372.8,18432.0,107.374,0.00504,2,2,a100,203.0
45_Average_Pooling_2D.py_variable_multiplier_0.9,29613.1,14867.5,44480.5,154.554,0.00297,2,2,a100,99.0
46_Average_Pooling_3D.py_variable_multiplier_0.9,22118.4,14745.6,36864.0,1534.82,0.03573,2,2,a100,223.5
47_Sum_reduction_over_a_dimension.py_variable_multiplier_0.9,22113.0,14742.0,36855.0,20.777,0.00045,5,3,a100,99.0
48_Mean_reduction_over_a_dimension.py_variable_multiplier_0.9,22113.0,14742.0,36855.0,41.5541,0.00099,5,3,a100,101.0
49_Max_reduction_over_a_dimension.py_variable_multiplier_0.9,22113.0,14742.0,36855.0,20.777,0.00045,3,2,a100,156.5
4_Matrix_vector_multiplication_.py_variable_multiplier_0.9,22129.2,14752.8,36882.0,22875.0,0.53235,1,1,a100,292.0
50_conv_standard_2D__square_input__square_kernel.py_variable_multiplier_0.9,4498.44,4366.02,8864.46,208.278,0.02016,3,3,a100,99.0
51_Argmax_over_a_dimension.py_variable_multiplier_0.9,22113.0,14742.0,36855.0,20.777,0.00045,3,2,a100,99.0
52_Argmin_over_a_dimension.py_variable_multiplier_0.9,22113.0,14742.0,36855.0,20.777,0.00045,3,2,a100,99.0
53_Min_reduction_over_a_dimension.py_variable_multiplier_0.9,22113.0,14742.0,36855.0,20.777,0.00045,3,2,a100,101.0
54_conv_standard_3D__square_input__square_kernel.py_variable_multiplier_0.9,1008.04,964.818,1972.85,67.9477,0.02952,3,3,a100,138.0
55_conv_standard_2D__asymmetric_input__square_kernel.py_variable_multiplier_0.9,3686.91,2765.05,6451.96,1449.95,0.19287,3,3,a100,185.5
56_conv_standard_2D__asymmetric_input__asymmetric_kernel.py_variable_multiplier_0.9,923.569,692.184,1615.75,363.936,0.19332,3,3,a100,176.5
57_conv_transposed_2D__square_input__square_kernel.py_variable_multiplier_0.9,5529.85,3686.53,9216.38,2899.1,0.27,3,3,a100,201.5
58_conv_transposed_3D__asymmetric_input__asymmetric_kernel.py_variable_multiplier_0.9,173.169,115.385,288.554,90.597,0.26946,3,3,a100,159.5
59_conv_standard_3D__asymmetric_input__square_kernel.py_variable_multiplier_0.9,2520.01,2412.01,4932.02,169.869,0.02952,3,3,a100,150.0
5_Matrix_scalar_multiplication.py_variable_multiplier_0.9,11059.2,7372.8,18432.0,2899.1,0.135,3,3,a100,99.0
60_conv_standard_3D__square_input__asymmetric_kernel.py_variable_multiplier_0.9,1008.14,964.869,1973.01,67.9477,0.02952,3,3,a100,149.0
61_conv_transposed_3D__square_input__square_kernel.py_variable_multiplier_0.9,1037.23,691.414,1728.64,543.582,0.26991,3,3,a100,99.0
62_conv_standard_2D__square_input__asymmetric_kernel.py_variable_multiplier_0.9,922.233,691.516,1613.75,362.885,0.19305,3,3,a100,99.0
63_conv_standard_2D__square_input__square_kernel.py_variable_multiplier_0.9,9216.13,8294.46,17510.6,1449.65,0.0711,3,3,a100,205.33333333333331
64_conv_transposed_1D.py_variable_multiplier_0.9,5529.94,3686.57,9216.51,2899.1,0.27,3,3,a100,99.0
65_conv_transposed_2D__square_input__asymmetric_kernel.py_variable_multiplier_0.9,1382.99,921.895,2304.89,724.776,0.26991,3,3,a100,151.5
66_conv_standard_3D__asymmetric_input__asymmetric_kernel.py_variable_multiplier_0.9,504.138,482.469,986.608,92226.1,80.2328,2,2,a100,99.0
67_conv_standard_1D.py_variable_multiplier_0.9,3686.57,2764.88,6451.45,1449.55,0.19287,3,3,a100,183.0
68_conv_transposed_3D__square_input__asymmetric_kernel.py_variable_multiplier_0.9,1383.45,922.127,2305.58,724.776,0.26982,3,3,a100,202.0
69_conv_transposed_2D__asymmetric_input__asymmetric_kernel.py_variable_multiplier_0.9,1383.24,922.022,2305.27,724.776,0.26982,3,3,a100,99.0
6_Matmul_with_large_K_dimension_.py_variable_multiplier_0.9,2764.8,1843.2,4608.0,35514.0,6.615,1,1,a100,99.0
70_conv_transposed_3D__asymmetric_input__square_kernel.py_variable_multiplier_0.9,3499.41,2332.91,5832.32,1834.59,0.27,3,3,a100,162.5
71_conv_transposed_2D__asymmetric_input__square_kernel.py_variable_multiplier_0.9,1382.46,921.632,2304.09,724.776,0.27,3,3,a100,99.0
73_conv_transposed_3D_asymmetric_input_square_kernel__strided_padded__grouped.py_variable_multiplier_0.9,345.79,230.495,576.285,181.194,0.26991,3,3,a100,99.0
76_conv_standard_1D_dilated_strided__.py_variable_multiplier_0.9,29490.9,22118.1,51609.1,11596.2,0.19287,3,3,a100,311.25
77_conv_transposed_3D_square_input_square_kernel___padded____dilated____strided__.py_variable_multiplier_0.9,86.7797,57.7898,144.57,39137.9,232.361,2,2,a100,99.0
78_conv_transposed_2D_asymmetric_input_asymmetric_kernel___padded__.py_variable_multiplier_0.9,1382.55,921.674,2304.22,724.776,0.27,3,3,a100,131.0
79_conv_transposed_1D_asymmetric_input_square_kernel___padded____strided____dilated__.py_variable_multiplier_0.9,691.242,460.821,1152.06,362.388,0.27,3,3,a100,99.0
7_Matmul_with_small_K_dimension_.py_variable_multiplier_0.9,43.2,28.8,72.0,371085.0,4423.68,1,1,a100,185.5
81_conv_transposed_2D_asymmetric_input_square_kernel___dilated____padded____strided__.py_variable_multiplier_0.9,43.3265,28.8633,72.1898,6522.98,77.5555,2,2,a100,159.0
87_conv_pointwise_2D.py_variable_multiplier_0.9,14745.7,11059.2,25804.9,5798.25,0.19287,3,3,a100,190.5
88_MinGPTNewGelu.py_variable_multiplier_0.9,691.2,460.8,1152.0,3623.88,2.7,15,5,a100,99.0
89_cumsum.py_variable_multiplier_0.9,11059.2,7372.8,18432.0,2899.1,0.135,3,2,a100,140.66666666666666
90_cumprod.py_variable_multiplier_0.9,11059.2,7372.8,18432.0,2899.1,0.135,3,2,a100,136.66666666666666
91_cumsum_reverse.py_variable_multiplier_0.9,11059.2,7372.8,18432.0,2899.1,0.135,9,4,a100,205.33333333333331
92_cumsum_exclusive.py_variable_multiplier_0.9,11059.2,7372.8,18432.0,2898.19,0.135,27,12,a100,176.0
93_masked_cumsum.py_variable_multiplier_0.9,13824.0,9216.0,23040.0,5798.21,0.216,4,3,a100,188.66666666666663
94_MSELoss.py_variable_multiplier_0.9,22118.4,14745.6,36864.0,26091.9,0.6075,6,4,a100,223.5
95_CrossEntropyLoss.py_variable_multiplier_0.9,1383.08,922.05,2305.12,0.00027,0.0,5,2,a100,99.0
96_HuberLoss.py_variable_multiplier_0.9,22118.4,14745.6,36864.0,11596.4,0.27,6,5,a100,198.5
97_ScaledDotProductAttention.py_variable_multiplier_0.9,16588.8,11059.2,27648.0,235552.0,7.3125,6,2,a100,295.5
98_KLDivLoss.py_variable_multiplier_0.9,5529.6,3686.4,9216.0,2899.1,0.27,8,6,a100,99.0
99_TripletMarginLoss.py_variable_multiplier_0.9,8294.4,5529.6,13824.0,0.00126,0.0,2,2,a100,170.0
9_Tall_skinny_matrix_multiplication_.py_variable_multiplier_0.9,21.6,14.4,36.0,185543.0,4423.68,1,1,a100,99.0
100_HingeLoss.py_variable_multiplier_1.0,12288.4,8192.25,20480.6,12881.2,0.5998,9,5,a100,229.66666666666663
10_3D_tensor_matrix_multiplication.py_variable_multiplier_1.0,402.0,268.0,670.0,78821.9,112.195,1,1,a100,100.0
11_4D_tensor_matrix_multiplication.py_variable_multiplier_1.0,3074.25,2049.5,5123.75,117466.0,21.8636,4,3,a100,289.6666666666667
12_Matmul_with_diagonal_matrices_.py_variable_multiplier_1.0,192.047,128.031,320.078,50.328,0.15,3,3,a100,136.0
13_Matmul_for_symmetric_matrices.py_variable_multiplier_1.0,384.0,256.0,640.0,225083.0,335.4,1,1,a100,100.0
14_Matmul_for_upper_triangular_matrices.py_variable_multiplier_1.0,384.0,256.0,640.0,225133.0,335.475,3,3,a100,100.0
15_Matmul_for_lower_triangular_matrices.py_variable_multiplier_1.0,384.0,256.0,640.0,225133.0,335.475,3,3,a100,100.0
16_Matmul_with_transposed_A.py_variable_multiplier_1.0,576.0,384.0,960.0,183643.0,182.433,2,2,a100,100.0
17_Matmul_with_transposed_B.py_variable_multiplier_1.0,576.0,384.0,960.0,183643.0,182.433,2,2,a100,100.0
18_Matmul_with_transposed_both.py_variable_multiplier_1.0,576.0,384.0,960.0,183643.0,182.433,3,2,a100,100.0
19_ReLU.py_variable_multiplier_1.0,18432.0,12288.0,30720.0,4831.84,0.15,1,1,a100,176.0
1_Square_matrix_multiplication_.py_variable_multiplier_1.0,384.0,256.0,640.0,225083.0,335.4,1,1,a100,100.0
20_LeakyReLU.py_variable_multiplier_1.0,18432.0,12288.0,30720.0,9663.68,0.3,2,2,a100,177.0
21_Sigmoid.py_variable_multiplier_1.0,18432.0,12288.0,30720.0,19327.4,0.6,1,1,a100,100.0
22_Tanh.py_variable_multiplier_1.0,18432.0,12288.0,30720.0,28991.0,0.9,1,1,a100,185.0
23_Softmax.py_variable_multiplier_1.0,18432.0,12288.0,30720.0,24159.2,0.75,3,2,a100,260.5
24_LogSoftmax.py_variable_multiplier_1.0,18432.0,12288.0,30720.0,24159.2,0.75,3,2,a100,255.0
25_Swish.py_variable_multiplier_1.0,18432.0,12288.0,30720.0,24159.2,0.75,2,2,a100,222.33333333333331
26_GELU_.py_variable_multiplier_1.0,18432.0,12288.0,30720.0,67645.7,2.1,2,2,a100,190.5
27_SELU_.py_variable_multiplier_1.0,18432.0,12288.0,30720.0,48318.4,1.5,1,1,a100,101.0
28_HardSigmoid.py_variable_multiplier_1.0,18432.0,12288.0,30720.0,14495.5,0.45,1,1,a100,175.5
29_Softplus.py_variable_multiplier_1.0,18432.0,12288.0,30720.0,28991.0,0.9,3,2,a100,100.0
2_Standard_matrix_multiplication_.py_variable_multiplier_1.0,576.0,384.0,960.0,183643.0,182.433,1,1,a100,144.0
30_Softsign.py_variable_multiplier_1.0,18432.0,12288.0,30720.0,14495.5,0.45,5,4,a100,279.3333333333333
31_ELU.py_variable_multiplier_1.0,18432.0,12288.0,30720.0,38654.7,1.2,4,2,a100,100.0
32_HardTanh.py_variable_multiplier_1.0,18432.0,12288.0,30720.0,9663.68,0.3,3,2,a100,100.0
33_BatchNorm.py_variable_multiplier_1.0,12288.0,8192.0,20480.0,6442.45,0.3,3,3,a100,164.0
34_InstanceNorm.py_variable_multiplier_1.0,21504.0,14336.0,35840.0,22548.6,0.6,2,2,a100,199.66666666666663
35_GroupNorm_.py_variable_multiplier_1.0,21504.0,14336.0,35840.0,11274.3,0.3,3,3,a100,225.66666666666663
36_RMSNorm_.py_variable_multiplier_1.0,21504.0,14336.0,35840.0,57780.7,1.5375,12,7,a100,278.0
37_FrobeniusNorm_.py_variable_multiplier_1.0,21504.0,14336.0,35840.0,5637.53,0.15,6,3,a100,244.5
38_L1Norm_.py_variable_multiplier_1.0,24575.6,16383.8,40959.4,12887.6,0.3001,7,5,a100,299.0
39_L2Norm_.py_variable_multiplier_1.0,24575.6,16383.8,40959.4,6446.67,0.1501,7,4,a100,220.0
3_Batched_matrix_multiplication.py_variable_multiplier_1.0,3840.0,2560.0,6400.0,141814.0,21.132,1,1,a100,197.0
40_LayerNorm.py_variable_multiplier_1.0,832.0,544.0,1376.0,402.653,0.2791,3,3,a100,105.33333333333331
41_Max_Pooling_1D.py_variable_multiplier_1.0,9216.0,6144.0,15360.0,2411.62,0.1497,2,2,a100,205.0
42_Max_Pooling_2D.py_variable_multiplier_1.0,4224.0,2176.0,6400.0,1564.27,0.2331,2,2,a100,209.0
43_Max_Pooling_3D.py_variable_multiplier_1.0,12288.0,8192.0,20480.0,119.305,0.0056,2,2,a100,179.0
44_Average_Pooling_1D.py_variable_multiplier_1.0,6144.0,4096.0,10240.0,3221.59,0.3,2,2,a100,176.5
45_Average_Pooling_2D.py_variable_multiplier_1.0,32903.4,16519.4,49422.8,171.727,0.0033,2,2,a100,227.5
46_Average_Pooling_3D.py_variable_multiplier_1.0,24576.0,16384.0,40960.0,1705.35,0.0397,2,2,a100,195.0
47_Sum_reduction_over_a_dimension.py_variable_multiplier_1.0,24570.0,16380.0,40950.0,23.0856,0.0005,5,3,a100,100.0
48_Mean_reduction_over_a_dimension.py_variable_multiplier_1.0,24570.0,16380.0,40950.0,46.1712,0.0011,5,3,a100,100.0
49_Max_reduction_over_a_dimension.py_variable_multiplier_1.0,24570.0,16380.0,40950.0,23.0856,0.0005,3,2,a100,180.5
